YEAR,MONTH,RMAX,TMIN,LOCAL,IMPORT
1998,1,41.6,12.4,1,0
1998,2,24.6,11.4,1,1
1998,3,53.8,15.7,3,0
1998,4,80.7,21,1,0
1998,5,24.6,23.1,1,0
1998,6,221.6,22.7,3,0
1998,7,112.3,24.2,3,0
1998,8,64.7,23.9,2,1
1998,9,52.1,24.2,16,1
1998,10,46.2,23,10,0
1998,11,1.5,20.9,35,0
1998,12,8.9,16.8,30,1
1999,1,5.1,13.7,12,1
1999,2,0,12.1,1,0
1999,3,0.1,18.6,0,0
1999,4,37.1,19.6,0,1
1999,5,96.5,19.1,0,0
1999,6,201,24.1,2,1
1999,7,191,23.9,9,0
1999,8,139.6,23.7,6,0
1999,9,62.6,22.8,0,1
1999,10,73.8,21.3,0,0
1999,11,9.7,17.9,0,3
1999,12,13.2,7.5,3,0
2000,1,0.5,11.1,0,0
2000,2,9.6,11.8,0,1
2000,3,13.5,15.8,0,1
2000,4,28,19.3,0,0
2000,5,24.6,22.7,0,0
2000,6,62.5,21.1,0,1
2000,7,104.7,24.5,0,0
2000,8,138.3,23.3,1,0
2000,9,30.7,22.9,0,0
2000,10,149,21.3,0,0
2000,11,13.2,18,0,0
2000,12,4.1,15.3,0,0
2001,1,38.5,13.5,0,0
2001,2,1.9,13.6,0,0
2001,3,6.5,15.1,0,0
2001,4,3.5,18,0,0
2001,5,237.2,22.2,0,1
2001,6,111.7,23.9,0,1
2001,7,470.6,23.6,1,3
2001,8,57.6,25.2,0,1
2001,9,179,22.6,5,0
2001,10,0,23,77,3
2001,11,2.3,15.6,91,2
2001,12,6.8,11.4,42,1
2002,1,28.7,12.9,4,1
2002,2,7,13.8,2,0
2002,3,3.5,17,0,0
2002,4,0,20.3,3,1
2002,5,66.7,22.7,5,0
2002,6,40.7,24,140,0
2002,7,27,25.7,623,0
2002,8,120.9,24.1,1019,0
2002,9,31.6,23.8,1213,0
2002,10,0,21.8,999,0
2002,11,0.1,16.7,600,0
2002,12,27,13.4,203,0
2003,1,24,12.8,34,1
2003,2,3,13.2,1,0
2003,3,17.7,14.5,2,0
2003,4,34.5,19.9,0,0
2003,5,8.7,23.1,0,1
2003,6,266.1,23.8,0,1
2003,7,23,26.5,0,1
2003,8,180.3,24.7,0,1
2003,9,62.5,24.4,10,0
2003,10,48,20.7,21,1
2003,11,46.5,15.7,3,0
2003,12,0,13,0,0
2004,1,3.4,8.7,0,0
2004,2,7,12.5,0,1
2004,3,1.7,14.4,0,1
2004,4,59.3,17.5,0,1
2004,5,59.6,23.3,0,0
2004,6,32,23.7,0,0
2004,7,171,22.8,0,1
2004,8,35.5,24.2,0,2
2004,9,89.6,23.2,6,2
2004,10,1.1,21.1,12,2
2004,11,1.1,18.3,19,2
2004,12,123.1,10.3,11,0
2005,1,0.2,8.8,6,1
2005,2,21.5,10.8,4,0
2005,3,4.5,8.8,0,0
2005,4,4,19.4,0,0
2005,5,128.5,22.8,0,0
2005,6,226.1,24.5,0,1
2005,7,242,23.7,0,1
2005,8,111.5,23.6,18,0
2005,9,156.7,24.5,21,1
2005,10,38.1,20.9,30,2
2005,11,11,18.2,49,1
2005,12,15.8,10.2,8,1
2006,1,3.8,11.3,0,0
2006,2,0,14.4,0,2
2006,3,6.4,11.9,0,0
2006,4,33.2,18.5,0,1
2006,5,56.4,22.7,0,2
2006,6,259,22.9,2,1
2006,7,298.7,23.2,50,3
2006,8,50,23.6,106,1
2006,9,36.3,24.4,166,0
2006,10,1.3,22.8,283,0
2006,11,32,20.5,228,3
2006,12,1.2,12.6,107,1
2007,1,6.2,9.7,13,3
2007,2,5,12.2,0,0
2007,3,6.7,15.3,3,1
2007,4,11.5,15.6,0,0
2007,5,152.4,21.5,0,1
2007,6,42.1,23.8,2,3
2007,7,26.3,26,44,3
2007,8,418,23.5,16,1
2007,9,28.5,24.6,5,2
2007,10,49,22.3,26,4
2007,11,31.6,13.9,63,2
2007,12,0,13,9,1
2008,1,8.2,12,3,0
2008,2,11.6,10.4,0,0
2008,3,15.4,16.7,0,2
2008,4,20.5,19.6,0,1
2008,5,56.1,22.5,0,1
2008,6,393.5,23.1,5,1
2008,7,269.2,24.2,36,2
2008,8,61.4,24,68,5
2008,9,86.2,24.5,37,4
2008,10,26.6,24,130,1
2008,11,39,14.9,127,1
2008,12,0.4,13.4,18,1
2009,1,0,9.4,0,2
2009,2,0.5,17.2,0,1
2009,3,22.3,15.6,1,3
2009,4,18.2,18.2,0,1
2009,5,8.1,21.9,0,2
2009,6,91.6,23.1,0,2
2009,7,92.1,24.5,4,4
2009,8,507,25.4,58,3
2009,9,72.7,24.9,36,0
2009,10,45.3,21.8,141,1
2009,11,8.6,18,317,5
2009,12,0.6,12.9,191,1
2010,1,1.1,11,36,2
2010,2,4.5,12.2,2,1
2010,3,1.2,12.8,2,1
2010,4,19.6,17.6,3,2
2010,5,88.7,21.6,2,1
2010,6,62.3,23.8,3,1
2010,7,129.2,24.4,2,2
2010,8,67.2,25.4,56,6
2010,9,426.7,23.4,223,8
2010,10,71.5,19.2,326,3
2010,11,12.9,19,275,4
2010,12,11.7,11.4,145,0
2011,1,4.6,11.4,10,0
2011,2,2.7,11.8,2,2
2011,3,6.1,13.9,0,0
2011,4,23.6,17.8,0,0
2011,5,56.3,21.3,0,1
2011,6,181.8,23.6,0,1
2011,7,106.5,24.6,3,4
2011,8,172.7,25.2,117,4
2011,9,40.5,25.2,124,2
2011,10,19.1,22.9,241,1
2011,11,118.9,20.2,455,0
2011,12,24.6,13.7,216,1
2012,1,0.3,13.5,7,2
2012,2,17.5,12.8,2,0
2012,3,6.2,15.5,0,1
2012,4,28,21.2,0,1
2012,5,75.1,23.3,2,4
2012,6,152.6,23.9,4,2
2012,7,12.6,25.4,12,7
2012,8,155.3,24.1,35,5
2012,9,33.1,24,85,1
2012,10,0.7,21.8,142,1
2012,11,39.9,20.2,167,0
2012,12,9.5,11.1,51,1
2013,1,0.2,12.1,5,3
2013,2,0.1,15.8,0,3
2013,3,13.3,16.3,1,1
2013,4,51.9,17.3,0,1
2013,5,183.5,21.9,0,1
2013,6,31.2,25.8,0,4
2013,7,84.9,24.7,1,5
2013,8,293.4,23.4,1,5
2013,9,35.3,22.9,2,3
2013,10,22.5,20.6,7,3
2013,11,14,14.8,32,1
2013,12,20.7,12.1,21,2
2014,1,0,11.1,1,2
2014,2,12.8,11.4,0,4
2014,3,66.8,17,0,0
2014,4,12.1,20.5,0,5
2014,5,45.1,22.1,12,1
2014,6,103.2,25.4,92,2
2014,7,118.5,26.2,366,4
2014,8,261.7,25.1,937,3
2014,9,109.6,25.1,2192,7
2014,10,0,22.5,5328,7
2014,11,1.5,20.2,4787,5
2014,12,6.1,13.7,1284,4
2015,1,5,14.4,70,6
2015,2,23.5,12.4,10,3
2015,3,0,17,7,2
2015,4,3.6,18.5,5,6
2015,5,62.1,24.8,19,3
2015,6,8.1,26.3,31,1
2015,7,39.1,25.4,29,5
2015,8,162.6,24.1,438,7
2015,9,77.6,24.9,2107,7
2015,10,12,23.9,5134,8
2015,11,39.6,17.7,8914,4
2015,12,26.3,14,2959,9
2016,1,78.8,7.1,331,5
2016,2,20,10.2,7,1
2016,3,29.7,12.8,1,0
2016,4,49.1,21.8,1,3
2016,5,44,25.1,0,1
2016,6,139.6,24.6,0,2
2016,7,162.2,25.5,1,2
2016,8,110.1,25,1,7
2016,9,262.7,24.5,0,3
2016,10,74.1,24.2,0,4
2016,11,55,19.8,0,3
2016,12,0.8,16.3,0,6
2017,1,0,14.7,0,4
2017,2,0,13.8,0,3
2017,3,2.5,17.5,0,1
2017,4,52,16.6,0,1
2017,5,73.5,22.8,0,2
2017,6,77,24.9,0,5
2017,7,124,24.3,3,7
