YEAR,MONTH,RMAX,TMIN,LOCAL,IMPORT,I6_9,I5_10,I5_8,I1_8,I4_7,I7_9,I4_9,I1_9,I4_8
1999,1,0.6,11.8,6,0,0,0,0,2,0,0,0,2,0
1999,2,0,8.1,0,1,0,0,0,2,0,0,0,2,0
1999,3,6.4,14.9,0,1,0,0,0,2,0,0,0,2,0
1999,4,34.5,17.9,1,0,0,0,0,2,0,0,0,2,0
1999,5,40,17.4,0,0,0,0,0,2,0,0,0,2,0
1999,6,40,24,0,0,0,0,0,2,0,0,0,2,0
1999,7,138.5,23.8,0,0,0,0,0,2,0,0,0,2,0
1999,8,213.5,23.6,0,0,0,0,0,2,0,0,0,2,0
1999,9,15,21,0,0,0,0,0,2,0,0,0,2,0
1999,10,29,19.8,0,0,0,0,0,2,0,0,0,2,0
1999,11,7,16.7,0,0,0,0,0,2,0,0,0,2,0
1999,12,16,6.3,1,0,0,0,0,2,0,0,0,2,0
2000,1,2,9.7,0,0,0,1,0,0,0,0,0,0,0
2000,2,4,11.3,0,0,0,1,0,0,0,0,0,0,0
2000,3,4.3,14.8,0,0,0,1,0,0,0,0,0,0,0
2000,4,48.8,17.1,0,0,0,1,0,0,0,0,0,0,0
2000,5,7,21.3,0,0,0,1,0,0,0,0,0,0,0
2000,6,50.5,19.7,1,0,0,1,0,0,0,0,0,0,0
2000,7,144.5,24.3,3,0,0,1,0,0,0,0,0,0,0
2000,8,266,23.6,35,0,0,1,0,0,0,0,0,0,0
2000,9,58.5,23.1,43,0,0,1,0,0,0,0,0,0,0
2000,10,89,20.3,20,1,0,1,0,0,0,0,0,0,0
2000,11,7,16.7,6,0,0,1,0,0,0,0,0,0,0
2000,12,7,13.9,1,0,0,1,0,0,0,0,0,0,0
2001,1,38.5,12,0,0,3,3,1,1,1,2,3,3,1
2001,2,0.3,12.9,0,0,3,3,1,1,1,2,3,3,1
2001,3,27.7,11.8,0,0,3,3,1,1,1,2,3,3,1
2001,4,24,16.9,0,0,3,3,1,1,1,2,3,3,1
2001,5,158.5,22.4,0,0,3,3,1,1,1,2,3,3,1
2001,6,203,23.4,0,1,3,3,1,1,1,2,3,3,1
2001,7,77,24.2,0,0,3,3,1,1,1,2,3,3,1
2001,8,22.5,25.1,1,0,3,3,1,1,1,2,3,3,1
2001,9,226,22.8,0,2,3,3,1,1,1,2,3,3,1
2001,10,0,20.1,0,0,3,3,1,1,1,2,3,3,1
2001,11,1.2,13.6,0,0,3,3,1,1,1,2,3,3,1
2001,12,13.5,8.3,0,1,3,3,1,1,1,2,3,3,1
2002,1,13.5,10.5,0,0,2,5,4,4,4,1,4,4,4
2002,2,0,11.7,0,0,2,5,4,4,4,1,4,4,4
2002,3,0.5,14.7,0,0,2,5,4,4,4,1,4,4,4
2002,4,0,18.4,0,0,2,5,4,4,4,1,4,4,4
2002,5,105,22.2,0,2,2,5,4,4,4,1,4,4,4
2002,6,35,23.1,0,1,2,5,4,4,4,1,4,4,4
2002,7,165,24.8,0,1,2,5,4,4,4,1,4,4,4
