"year","weeknum","month","MOI_County_living","Imported","Number_of_confirmed_cases"
1999,1,1,"Kaohsiung City","N",1
2002,1,1,"Kaohsiung City","N",1
2003,1,1,"Kaohsiung City","N",10
2007,1,1,"Kaohsiung City","N",6
2008,1,1,"Kaohsiung City","N",3
2010,1,1,"Kaohsiung City","N",9
2011,1,1,"Kaohsiung City","N",2
2012,1,1,"Kaohsiung City","N",6
2013,1,1,"Kaohsiung City","N",1
2015,1,1,"Kaohsiung City","N",14
2016,1,1,"Kaohsiung City","N",60
1999,2,1,"Kaohsiung City","N",6
2003,2,1,"Kaohsiung City","N",5
2005,2,1,"Kaohsiung City","N",1
2007,2,1,"Kaohsiung City","N",3
2010,2,1,"Kaohsiung City","N",10
2011,2,1,"Kaohsiung City","N",5
2012,2,1,"Kaohsiung City","N",1
2013,2,1,"Kaohsiung City","N",2
2015,2,1,"Kaohsiung City","N",15
2016,2,1,"Kaohsiung City","N",119
1998,3,1,"Kaohsiung City","N",1
1999,3,1,"Kaohsiung City","N",3
2003,3,1,"Kaohsiung City","N",8
2007,3,1,"Kaohsiung City","N",1
2010,3,1,"Kaohsiung City","N",8
2013,3,1,"Kaohsiung City","N",1
2014,3,1,"Kaohsiung City","N",1
2015,3,1,"Kaohsiung City","N",21
2016,3,1,"Kaohsiung City","N",94
1999,4,1,"Kaohsiung City","N",1
2002,4,1,"Kaohsiung City","N",2
2003,4,1,"Kaohsiung City","N",7
2005,4,1,"Kaohsiung City","N",1
2007,4,1,"Kaohsiung City","N",1
2010,4,1,"Kaohsiung City","N",6
2011,4,1,"Kaohsiung City","N",2
2013,4,1,"Kaohsiung City","N",1
2015,4,1,"Kaohsiung City","N",15
2016,4,1,"Kaohsiung City","N",32
1999,5,1,"Kaohsiung City","N",1
2002,5,1,"Kaohsiung City","N",1
2003,5,1,"Kaohsiung City","N",4
2005,5,1,"Kaohsiung City","N",2
2007,5,1,"Kaohsiung City","N",2
2010,5,1,"Kaohsiung City","N",3
2011,5,1,"Kaohsiung City","N",1
2015,5,1,"Kaohsiung City","N",5
2016,5,1,"Kaohsiung City","N",25
2005,6,1,"Kaohsiung City","N",2
2016,6,1,"Kaohsiung City","N",1
2012,5,2,"Kaohsiung City","N",1
1999,6,2,"Kaohsiung City","N",1
2002,6,2,"Kaohsiung City","N",1
2005,6,2,"Kaohsiung City","N",1
2010,6,2,"Kaohsiung City","N",1
2012,6,2,"Kaohsiung City","N",1
2015,6,2,"Kaohsiung City","N",7
2016,6,2,"Kaohsiung City","N",4
2002,7,2,"Kaohsiung City","N",1
2003,7,2,"Kaohsiung City","N",1
2005,7,2,"Kaohsiung City","N",2
2010,7,2,"Kaohsiung City","N",1
2011,7,2,"Kaohsiung City","N",1
2015,7,2,"Kaohsiung City","N",2
2016,7,2,"Kaohsiung City","N",2
1998,8,2,"Kaohsiung City","N",1
2011,8,2,"Kaohsiung City","N",1
2005,9,2,"Kaohsiung City","N",1
2015,9,2,"Kaohsiung City","N",1
2016,9,2,"Kaohsiung City","N",1
2007,9,3,"Kaohsiung City","N",3
1998,10,3,"Kaohsiung City","N",1
2003,10,3,"Kaohsiung City","N",2
2013,10,3,"Kaohsiung City","N",1
2016,10,3,"Kaohsiung City","N",1
2015,11,3,"Kaohsiung City","N",5
2009,12,3,"Kaohsiung City","N",1
2010,12,3,"Kaohsiung City","N",1
1998,13,3,"Kaohsiung City","N",2
2015,13,3,"Kaohsiung City","N",2
2010,14,3,"Kaohsiung City","N",1
2002,14,4,"Kaohsiung City","N",1
2015,14,4,"Kaohsiung City","N",1
2010,15,4,"Kaohsiung City","N",1
2015,15,4,"Kaohsiung City","N",1
1998,16,4,"Kaohsiung City","N",1
2002,16,4,"Kaohsiung City","N",2
2010,16,4,"Kaohsiung City","N",2
2015,16,4,"Kaohsiung City","N",1
2015,17,4,"Kaohsiung City","N",2
2016,17,4,"Kaohsiung City","N",1
2002,19,5,"Kaohsiung City","N",1
2010,19,5,"Kaohsiung City","N",1
2012,19,5,"Kaohsiung City","N",1
2015,19,5,"Kaohsiung City","N",3
2010,20,5,"Kaohsiung City","N",1
2012,20,5,"Kaohsiung City","N",1
2014,20,5,"Kaohsiung City","N",2
2015,20,5,"Kaohsiung City","N",8
1998,21,5,"Kaohsiung City","N",1
2014,21,5,"Kaohsiung City","N",5
2015,21,5,"Kaohsiung City","N",3
2002,22,5,"Kaohsiung City","N",4
2014,22,5,"Kaohsiung City","N",5
2015,22,5,"Kaohsiung City","N",4
2015,23,5,"Kaohsiung City","N",1
1998,23,6,"Kaohsiung City","N",1
2002,23,6,"Kaohsiung City","N",1
2014,23,6,"Kaohsiung City","N",8
2015,23,6,"Kaohsiung City","N",11
2002,24,6,"Kaohsiung City","N",14
2012,24,6,"Kaohsiung City","N",2
2014,24,6,"Kaohsiung City","N",26
2015,24,6,"Kaohsiung City","N",9
1998,25,6,"Kaohsiung City","N",1
2002,25,6,"Kaohsiung City","N",43
2007,25,6,"Kaohsiung City","N",1
2008,25,6,"Kaohsiung City","N",1
2014,25,6,"Kaohsiung City","N",16
2015,25,6,"Kaohsiung City","N",7
1998,26,6,"Kaohsiung City","N",1
2002,26,6,"Kaohsiung City","N",64
2006,26,6,"Kaohsiung City","N",2
2007,26,6,"Kaohsiung City","N",1
2008,26,6,"Kaohsiung City","N",3
2010,26,6,"Kaohsiung City","N",3
2012,26,6,"Kaohsiung City","N",2
2014,26,6,"Kaohsiung City","N",33
2015,26,6,"Kaohsiung City","N",4
1999,27,6,"Kaohsiung City","N",2
2002,27,6,"Kaohsiung City","N",18
2008,27,6,"Kaohsiung City","N",1
2014,27,6,"Kaohsiung City","N",9
1999,27,7,"Kaohsiung City","N",1
2001,27,7,"Kaohsiung City","N",1
2002,27,7,"Kaohsiung City","N",114
2006,27,7,"Kaohsiung City","N",3
2008,27,7,"Kaohsiung City","N",5
2012,27,7,"Kaohsiung City","N",2
2013,27,7,"Kaohsiung City","N",1
2014,27,7,"Kaohsiung City","N",37
2015,27,7,"Kaohsiung City","N",1
1999,28,7,"Kaohsiung City","N",2
2002,28,7,"Kaohsiung City","N",129
2006,28,7,"Kaohsiung City","N",20
2007,28,7,"Kaohsiung City","N",2
2008,28,7,"Kaohsiung City","N",11
2010,28,7,"Kaohsiung City","N",1
2012,28,7,"Kaohsiung City","N",5
2014,28,7,"Kaohsiung City","N",46
2015,28,7,"Kaohsiung City","N",3
2016,28,7,"Kaohsiung City","N",1
1998,29,7,"Kaohsiung City","N",1
1999,29,7,"Kaohsiung City","N",1
2002,29,7,"Kaohsiung City","N",121
2006,29,7,"Kaohsiung City","N",11
2007,29,7,"Kaohsiung City","N",2
2008,29,7,"Kaohsiung City","N",11
2010,29,7,"Kaohsiung City","N",1
2012,29,7,"Kaohsiung City","N",2
2014,29,7,"Kaohsiung City","N",71
2015,29,7,"Kaohsiung City","N",5
2017,29,7,"Kaohsiung City","N",2
1998,30,7,"Kaohsiung City","N",1
1999,30,7,"Kaohsiung City","N",1
2002,30,7,"Kaohsiung City","N",149
2006,30,7,"Kaohsiung City","N",14
2007,30,7,"Kaohsiung City","N",24
2008,30,7,"Kaohsiung City","N",4
2012,30,7,"Kaohsiung City","N",2
2014,30,7,"Kaohsiung City","N",101
2015,30,7,"Kaohsiung City","N",9
2017,30,7,"Kaohsiung City","N",1
1998,31,7,"Kaohsiung City","N",1
1999,31,7,"Kaohsiung City","N",4
2002,31,7,"Kaohsiung City","N",110
2006,31,7,"Kaohsiung City","N",2
2007,31,7,"Kaohsiung City","N",16
2008,31,7,"Kaohsiung City","N",5
2009,31,7,"Kaohsiung City","N",4
2011,31,7,"Kaohsiung City","N",3
2012,31,7,"Kaohsiung City","N",1
2014,31,7,"Kaohsiung City","N",111
2015,31,7,"Kaohsiung City","N",11
2002,31,8,"Kaohsiung City","N",100
2006,31,8,"Kaohsiung City","N",4
2007,31,8,"Kaohsiung City","N",9
2008,31,8,"Kaohsiung City","N",3
2009,31,8,"Kaohsiung City","N",1
2012,31,8,"Kaohsiung City","N",1
2014,31,8,"Kaohsiung City","N",64
2015,31,8,"Kaohsiung City","N",2
1998,32,8,"Kaohsiung City","N",1
1999,32,8,"Kaohsiung City","N",2
