year,month,Y.M,MOI_County_living,import
1999,1,??-99,Kaohsiung City,1
1999,4,??-99,Kaohsiung City,1
1999,6,??-99,Kaohsiung City,1
1999,9,??-99,Kaohsiung City,1
1999,11,???-99,Kaohsiung City,3
2000,2,??-00,Kaohsiung City,1
2000,3,??-00,Kaohsiung City,1
2000,6,??-00,Kaohsiung City,1
2001,5,??-01,Kaohsiung City,1
2001,6,??-01,Kaohsiung City,1
2001,7,??-01,Kaohsiung City,3
2001,8,??-01,Kaohsiung City,1
2001,10,??-01,Kaohsiung City,3
2001,11,???-01,Kaohsiung City,2
2001,12,???-01,Kaohsiung City,1
2002,1,??-02,Kaohsiung City,1
2002,4,??-02,Kaohsiung City,1
2003,1,??-03,Kaohsiung City,1
2003,5,??-03,Kaohsiung City,1
2003,6,??-03,Kaohsiung City,1
2003,7,??-03,Kaohsiung City,1
2003,8,??-03,Kaohsiung City,1
2003,10,??-03,Kaohsiung City,1
2004,2,??-04,Kaohsiung City,1
2004,3,??-04,Kaohsiung City,1
2004,4,??-04,Kaohsiung City,1
2004,7,??-04,Kaohsiung City,1
2004,8,??-04,Kaohsiung City,2
2004,9,??-04,Kaohsiung City,2
2004,10,??-04,Kaohsiung City,2
2004,11,???-04,Kaohsiung City,2
2005,1,??-05,Kaohsiung City,1
2005,6,??-05,Kaohsiung City,1
2005,7,??-05,Kaohsiung City,1
2005,9,??-05,Kaohsiung City,1
2005,10,??-05,Kaohsiung City,2
2005,11,???-05,Kaohsiung City,1
2005,12,???-05,Kaohsiung City,1
2006,2,??-06,Kaohsiung City,2
2006,4,??-06,Kaohsiung City,1
2006,5,??-06,Kaohsiung City,2
2006,6,??-06,Kaohsiung City,1
2006,7,??-06,Kaohsiung City,3
2006,8,??-06,Kaohsiung City,1
2006,11,???-06,Kaohsiung City,3
2006,12,???-06,Kaohsiung City,1
2007,1,??-07,Kaohsiung City,3
2007,3,??-07,Kaohsiung City,1
2007,5,??-07,Kaohsiung City,1
2007,6,??-07,Kaohsiung City,3
2007,7,??-07,Kaohsiung City,3
2007,8,??-07,Kaohsiung City,1
2007,9,??-07,Kaohsiung City,2
2007,10,??-07,Kaohsiung City,4
2007,11,???-07,Kaohsiung City,2
2007,12,???-07,Kaohsiung City,1
2008,3,??-08,Kaohsiung City,2
2008,4,??-08,Kaohsiung City,1
2008,5,??-08,Kaohsiung City,1
2008,6,??-08,Kaohsiung City,1
2008,7,??-08,Kaohsiung City,2
2008,8,??-08,Kaohsiung City,5
2008,9,??-08,Kaohsiung City,4
2008,10,??-08,Kaohsiung City,1
2008,11,???-08,Kaohsiung City,1
2008,12,???-08,Kaohsiung City,1
2009,1,??-09,Kaohsiung City,2
2009,2,??-09,Kaohsiung City,1
2009,3,??-09,Kaohsiung City,3
2009,4,??-09,Kaohsiung City,1
2009,5,??-09,Kaohsiung City,2
2009,6,??-09,Kaohsiung City,2
2009,7,??-09,Kaohsiung City,4
2009,8,??-09,Kaohsiung City,3
2009,10,??-09,Kaohsiung City,1
2009,11,???-09,Kaohsiung City,5
2009,12,???-09,Kaohsiung City,1
2010,1,??-10,Kaohsiung City,2
2010,2,??-10,Kaohsiung City,1
2010,3,??-10,Kaohsiung City,1
2010,4,??-10,Kaohsiung City,2
2010,5,??-10,Kaohsiung City,1
2010,6,??-10,Kaohsiung City,1
2010,7,??-10,Kaohsiung City,2
2010,8,??-10,Kaohsiung City,6
2010,9,??-10,Kaohsiung City,8
2010,10,??-10,Kaohsiung City,3
2010,11,???-10,Kaohsiung City,4
2011,2,??-11,Kaohsiung City,2
2011,5,??-11,Kaohsiung City,1
2011,6,??-11,Kaohsiung City,1
2011,7,??-11,Kaohsiung City,4
2011,8,??-11,Kaohsiung City,4
2011,9,??-11,Kaohsiung City,2
2011,10,??-11,Kaohsiung City,1
2011,12,???-11,Kaohsiung City,1
2012,1,??-12,Kaohsiung City,2
2012,3,??-12,Kaohsiung City,1
2012,4,??-12,Kaohsiung City,1
2012,5,??-12,Kaohsiung City,4
2012,6,??-12,Kaohsiung City,2
2012,7,??-12,Kaohsiung City,7
2012,8,??-12,Kaohsiung City,5
2012,9,??-12,Kaohsiung City,1
2012,10,??-12,Kaohsiung City,1
2012,12,???-12,Kaohsiung City,1
2013,1,??-13,Kaohsiung City,3
2013,2,??-13,Kaohsiung City,3
2013,3,??-13,Kaohsiung City,1
2013,4,??-13,Kaohsiung City,1
2013,5,??-13,Kaohsiung City,1
2013,6,??-13,Kaohsiung City,4
2013,7,??-13,Kaohsiung City,5
2013,8,??-13,Kaohsiung City,5
2013,9,??-13,Kaohsiung City,3
2013,10,??-13,Kaohsiung City,3
2013,11,???-13,Kaohsiung City,1
2013,12,???-13,Kaohsiung City,2
2014,1,??-14,Kaohsiung City,2
2014,2,??-14,Kaohsiung City,4
2014,4,??-14,Kaohsiung City,5
2014,5,??-14,Kaohsiung City,1
2014,6,??-14,Kaohsiung City,2
2014,7,??-14,Kaohsiung City,4
2014,8,??-14,Kaohsiung City,3
2014,9,??-14,Kaohsiung City,7
2014,10,??-14,Kaohsiung City,7
2014,11,???-14,Kaohsiung City,5
2014,12,???-14,Kaohsiung City,4
2015,1,??-15,Kaohsiung City,6
2015,2,??-15,Kaohsiung City,3
2015,3,??-15,Kaohsiung City,2
2015,4,??-15,Kaohsiung City,6
2015,5,??-15,Kaohsiung City,3
2015,6,??-15,Kaohsiung City,1
2015,7,??-15,Kaohsiung City,5
2015,8,??-15,Kaohsiung City,7
2015,9,??-15,Kaohsiung City,7
2015,10,??-15,Kaohsiung City,8
2015,11,???-15,Kaohsiung City,4
2015,12,???-15,Kaohsiung City,9
