year,month,Y.M,MOI_County_living,import
1998,1,??-98,Pingtung County,1
1998,7,??-98,Pingtung County,3
1999,5,??-99,Pingtung County,1
1999,12,???-99,Pingtung County,1
2000,1,??-00,Pingtung County,1
2000,2,??-00,Pingtung County,1
2001,9,??-01,Pingtung County,1
2001,10,??-01,Pingtung County,1
2002,1,??-02,Pingtung County,1
2002,7,??-02,Pingtung County,1
2002,10,??-02,Pingtung County,1
2002,11,???-02,Pingtung County,1
2002,12,???-02,Pingtung County,1
2003,3,??-03,Pingtung County,1
2003,8,??-03,Pingtung County,1
2003,9,??-03,Pingtung County,1
2003,10,??-03,Pingtung County,2
2004,1,??-04,Pingtung County,1
2004,4,??-04,Pingtung County,1
2004,7,??-04,Pingtung County,1
2004,8,??-04,Pingtung County,4
2005,2,??-05,Pingtung County,1
2005,3,??-05,Pingtung County,1
2005,6,??-05,Pingtung County,1
2005,8,??-05,Pingtung County,3
2005,10,??-05,Pingtung County,1
2005,12,???-05,Pingtung County,1
2006,3,??-06,Pingtung County,1
2006,6,??-06,Pingtung County,1
2006,8,??-06,Pingtung County,3
2006,9,??-06,Pingtung County,1
2006,12,???-06,Pingtung County,1
2007,5,??-07,Pingtung County,1
2007,6,??-07,Pingtung County,1
2007,7,??-07,Pingtung County,1
2007,8,??-07,Pingtung County,1
2007,11,???-07,Pingtung County,1
2007,12,???-07,Pingtung County,1
2008,7,??-08,Pingtung County,5
2008,8,??-08,Pingtung County,2
2008,9,??-08,Pingtung County,1
2008,10,??-08,Pingtung County,1
2009,3,??-09,Pingtung County,1
2009,4,??-09,Pingtung County,1
2009,7,??-09,Pingtung County,1
2009,8,??-09,Pingtung County,1
2009,11,???-09,Pingtung County,1
2010,4,??-10,Pingtung County,1
2010,7,??-10,Pingtung County,1
2010,8,??-10,Pingtung County,2
2010,10,??-10,Pingtung County,2
2010,12,???-10,Pingtung County,1
2012,3,??-12,Pingtung County,1
2012,4,??-12,Pingtung County,1
2012,5,??-12,Pingtung County,1
2012,10,??-12,Pingtung County,1
2013,5,??-13,Pingtung County,2
2013,7,??-13,Pingtung County,1
2013,8,??-13,Pingtung County,1
2013,12,???-13,Pingtung County,1
2014,2,??-14,Pingtung County,2
2014,8,??-14,Pingtung County,1
2014,9,??-14,Pingtung County,2
2015,5,??-15,Pingtung County,2
2015,6,??-15,Pingtung County,1
2015,7,??-15,Pingtung County,1
2015,8,??-15,Pingtung County,2
2015,9,??-15,Pingtung County,3
2015,10,??-15,Pingtung County,1
2015,11,???-15,Pingtung County,1
2015,12,???-15,Pingtung County,1
2016,2,??-16,Pingtung County,1
2016,5,??-16,Pingtung County,1
2016,6,??-16,Pingtung County,1
2016,7,??-16,Pingtung County,4
2016,8,??-16,Pingtung County,3
2016,10,??-16,Pingtung County,4
2017,2,??-17,Pingtung County,2
2017,6,??-17,Pingtung County,1
2017,7,??-17,Pingtung County,1
2017,8,??-17,Pingtung County,2
2017,10,??-17,Pingtung County,2
2018,1,??-18,Pingtung County,1
