year,month,Y.M,MOI_County_living,import
1998,2,??-98,Tainan City,1
1998,11,???-98,Tainan City,1
1999,2,??-99,Tainan City,1
1999,3,??-99,Tainan City,1
2000,10,??-00,Tainan City,1
2001,6,??-01,Tainan City,1
2001,9,??-01,Tainan City,2
2001,12,???-01,Tainan City,1
2002,5,??-02,Tainan City,2
2002,6,??-02,Tainan City,1
2002,7,??-02,Tainan City,1
2002,10,??-02,Tainan City,1
2003,2,??-03,Tainan City,1
2003,7,??-03,Tainan City,1
2003,9,??-03,Tainan City,2
2004,4,??-04,Tainan City,1
2004,5,??-04,Tainan City,1
2004,8,??-04,Tainan City,2
2004,9,??-04,Tainan City,1
2005,4,??-05,Tainan City,1
2005,7,??-05,Tainan City,1
2005,11,???-05,Tainan City,2
2006,3,??-06,Tainan City,1
2006,4,??-06,Tainan City,1
2006,6,??-06,Tainan City,1
2006,7,??-06,Tainan City,1
2006,9,??-06,Tainan City,1
2006,11,???-06,Tainan City,1
2007,2,??-07,Tainan City,2
2007,3,??-07,Tainan City,1
2007,4,??-07,Tainan City,3
2007,6,??-07,Tainan City,2
2007,7,??-07,Tainan City,3
2007,8,??-07,Tainan City,3
2007,9,??-07,Tainan City,4
2007,10,??-07,Tainan City,9
2007,11,???-07,Tainan City,3
2007,12,???-07,Tainan City,3
2008,2,??-08,Tainan City,1
2008,3,??-08,Tainan City,1
2008,6,??-08,Tainan City,3
2008,7,??-08,Tainan City,2
2008,8,??-08,Tainan City,2
2008,9,??-08,Tainan City,1
2008,10,??-08,Tainan City,3
2008,11,???-08,Tainan City,1
2008,12,???-08,Tainan City,1
2009,6,??-09,Tainan City,2
2009,8,??-09,Tainan City,3
2009,10,??-09,Tainan City,1
2009,11,???-09,Tainan City,1
2009,12,???-09,Tainan City,1
2010,1,??-10,Tainan City,1
2010,2,??-10,Tainan City,2
2010,5,??-10,Tainan City,1
2010,8,??-10,Tainan City,2
2010,9,??-10,Tainan City,7
2010,10,??-10,Tainan City,3
2010,11,???-10,Tainan City,1
2010,12,???-10,Tainan City,1
2011,5,??-11,Tainan City,1
2011,7,??-11,Tainan City,2
2011,8,??-11,Tainan City,7
2011,9,??-11,Tainan City,1
2011,11,???-11,Tainan City,5
2011,12,???-11,Tainan City,1
2012,1,??-12,Tainan City,1
2012,4,??-12,Tainan City,2
2012,5,??-12,Tainan City,1
2012,7,??-12,Tainan City,2
2012,8,??-12,Tainan City,1
2012,9,??-12,Tainan City,1
2012,11,???-12,Tainan City,1
2012,12,???-12,Tainan City,1
2013,1,??-13,Tainan City,3
2013,2,??-13,Tainan City,3
2013,4,??-13,Tainan City,1
2013,7,??-13,Tainan City,1
2013,8,??-13,Tainan City,3
2013,9,??-13,Tainan City,1
2013,12,???-13,Tainan City,1
2014,1,??-14,Tainan City,1
2014,2,??-14,Tainan City,1
2014,5,??-14,Tainan City,1
2014,7,??-14,Tainan City,2
2014,8,??-14,Tainan City,3
2014,9,??-14,Tainan City,5
2014,10,??-14,Tainan City,5
2014,11,???-14,Tainan City,1
2015,1,??-15,Tainan City,1
2015,2,??-15,Tainan City,1
2015,4,??-15,Tainan City,1
2015,5,??-15,Tainan City,1
2015,6,??-15,Tainan City,2
2015,8,??-15,Tainan City,3
2015,9,??-15,Tainan City,2
2015,11,???-15,Tainan City,2
2015,12,???-15,Tainan City,4
2016,1,??-16,Tainan City,1
2016,2,??-16,Tainan City,4
2016,5,??-16,Tainan City,1
2016,6,??-16,Tainan City,3
2016,7,??-16,Tainan City,3
2016,8,??-16,Tainan City,6
2016,10,??-16,Tainan City,4
2016,11,???-16,Tainan City,4
2016,12,???-16,Tainan City,2
2017,1,??-17,Tainan City,3
2017,2,??-17,Tainan City,1
2017,4,??-17,Tainan City,1
2017,7,??-17,Tainan City,5
2017,8,??-17,Tainan City,2
2017,9,??-17,Tainan City,2
2017,10,??-17,Tainan City,2
2017,11,???-17,Tainan City,2
2018,1,??-18,Tainan City,1
2018,3,??-18,Tainan City,1
