year,month,Y.M,MOI_County_living,import
1998,2,1998-02,Kaohsiung City,1
1998,8,1998-08,Kaohsiung City,1
1998,9,1998-09,Kaohsiung City,1
1998,12,1998-12,Kaohsiung City,1
1999,1,1999-01,Kaohsiung City,1
1999,4,1999-04,Kaohsiung City,1
1999,6,1999-06,Kaohsiung City,1
1999,9,1999-09,Kaohsiung City,1
1999,11,1999-11,Kaohsiung City,3
2000,2,2000-02,Kaohsiung City,1
2000,3,2000-03,Kaohsiung City,1
2000,6,2000-06,Kaohsiung City,1
2001,5,2001-05,Kaohsiung City,1
2001,6,2001-06,Kaohsiung City,1
2001,7,2001-07,Kaohsiung City,3
2001,8,2001-08,Kaohsiung City,1
2001,10,2001-10,Kaohsiung City,3
2001,11,2001-11,Kaohsiung City,2
2001,12,2001-12,Kaohsiung City,1
2002,1,2002-01,Kaohsiung City,1
2002,4,2002-04,Kaohsiung City,1
2003,1,2003-01,Kaohsiung City,1
2003,5,2003-05,Kaohsiung City,1
2003,6,2003-06,Kaohsiung City,1
2003,7,2003-07,Kaohsiung City,1
2003,8,2003-08,Kaohsiung City,1
2003,10,2003-10,Kaohsiung City,1
2004,2,2004-02,Kaohsiung City,1
2004,3,2004-03,Kaohsiung City,1
2004,4,2004-04,Kaohsiung City,1
2004,7,2004-07,Kaohsiung City,1
2004,8,2004-08,Kaohsiung City,2
2004,9,2004-09,Kaohsiung City,2
2004,10,2004-10,Kaohsiung City,2
2004,11,2004-11,Kaohsiung City,2
2005,1,2005-01,Kaohsiung City,1
2005,6,2005-06,Kaohsiung City,1
2005,7,2005-07,Kaohsiung City,1
2005,9,2005-09,Kaohsiung City,1
2005,10,2005-10,Kaohsiung City,2
2005,11,2005-11,Kaohsiung City,1
2005,12,2005-12,Kaohsiung City,1
2006,2,2006-02,Kaohsiung City,2
2006,4,2006-04,Kaohsiung City,1
2006,5,2006-05,Kaohsiung City,2
2006,6,2006-06,Kaohsiung City,1
2006,7,2006-07,Kaohsiung City,3
2006,8,2006-08,Kaohsiung City,1
2006,11,2006-11,Kaohsiung City,3
2006,12,2006-12,Kaohsiung City,1
2007,1,2007-01,Kaohsiung City,3
2007,3,2007-03,Kaohsiung City,1
2007,5,2007-05,Kaohsiung City,1
2007,6,2007-06,Kaohsiung City,3
2007,7,2007-07,Kaohsiung City,3
2007,8,2007-08,Kaohsiung City,1
2007,9,2007-09,Kaohsiung City,2
2007,10,2007-10,Kaohsiung City,4
2007,11,2007-11,Kaohsiung City,2
2007,12,2007-12,Kaohsiung City,1
2008,3,2008-03,Kaohsiung City,2
2008,4,2008-04,Kaohsiung City,1
2008,5,2008-05,Kaohsiung City,1
2008,6,2008-06,Kaohsiung City,1
2008,7,2008-07,Kaohsiung City,2
2008,8,2008-08,Kaohsiung City,5
2008,9,2008-09,Kaohsiung City,4
2008,10,2008-10,Kaohsiung City,1
