Y.M,Kaohsiung City,year.x,month.x,import,year.y,month.y,local
1998-01,Kaohsiung City,NA,NA,NA,1998,1,1
1998-01,Kaohsiung City,1998,1,1,1998,1,1
1998-02,Kaohsiung City,1998,2,1,1998,2,1
1998-02,Kaohsiung City,1998,2,1,NA,NA,NA
1998-07,Kaohsiung City,NA,NA,NA,1998,7,3
1998-07,Kaohsiung City,1998,7,3,1998,7,1
1998-08,Kaohsiung City,1998,8,1,1998,8,2
1998-08,Kaohsiung City,NA,NA,NA,1998,8,1
1998-08,Kaohsiung City,NA,NA,NA,1998,8,1
1998-09,Kaohsiung City,1998,9,1,1998,9,16
1998-09,Kaohsiung City,NA,NA,NA,1998,9,2
1998-11,Kaohsiung City,NA,NA,NA,1998,11,35
1998-11,Kaohsiung City,NA,NA,NA,1998,11,3
1998-11,Kaohsiung City,1998,11,1,1998,11,59
1998-12,Kaohsiung City,1998,12,1,1998,12,30
1998-12,Kaohsiung City,NA,NA,NA,1998,12,64
1999-01,Kaohsiung City,1999,1,1,1999,1,12
1999-01,Kaohsiung City,NA,NA,NA,1999,1,6
1999-02,Kaohsiung City,NA,NA,NA,1999,2,1
1999-02,Kaohsiung City,1999,2,1,NA,NA,NA
1999-03,Kaohsiung City,1999,3,1,NA,NA,NA
1999-04,Kaohsiung City,1999,4,1,NA,NA,NA
1999-04,Kaohsiung City,NA,NA,NA,1999,4,1
1999-05,Kaohsiung City,1999,5,1,NA,NA,NA
1999-06,Kaohsiung City,1999,6,1,1999,6,2
1999-09,Kaohsiung City,1999,9,1,NA,NA,NA
1999-11,Kaohsiung City,1999,11,3,NA,NA,NA
1999-12,Kaohsiung City,NA,NA,NA,1999,12,3
1999-12,Kaohsiung City,1999,12,1,NA,NA,NA
1999-12,Kaohsiung City,NA,NA,NA,1999,12,1
2000-01,Kaohsiung City,2000,1,1,2000,1,2
2000-02,Kaohsiung City,2000,2,1,NA,NA,NA
2000-02,Kaohsiung City,2000,2,1,NA,NA,NA
2000-03,Kaohsiung City,2000,3,1,NA,NA,NA
2000-06,Kaohsiung City,2000,6,1,NA,NA,NA
2000-06,Kaohsiung City,NA,NA,NA,2000,6,1
2000-10,Kaohsiung City,2000,10,1,2000,10,20
2001-05,Kaohsiung City,2001,5,1,NA,NA,NA
2001-06,Kaohsiung City,2001,6,1,NA,NA,NA
2001-06,Kaohsiung City,2001,6,1,NA,NA,NA
2001-07,Kaohsiung City,2001,7,3,2001,7,1
2001-08,Kaohsiung City,2001,8,1,NA,NA,NA
2001-08,Kaohsiung City,NA,NA,NA,2001,8,1
2001-09,Kaohsiung City,NA,NA,NA,2001,9,5
2001-09,Kaohsiung City,2001,9,1,NA,NA,NA
2001-09,Kaohsiung City,2001,9,2,NA,NA,NA
2001-10,Kaohsiung City,2001,10,3,2001,10,77
2001-10,Kaohsiung City,2001,10,1,NA,NA,NA
2001-11,Kaohsiung City,2001,11,2,2001,11,91
2001-11,Kaohsiung City,NA,NA,NA,2001,11,1
2001-12,Kaohsiung City,2001,12,1,2001,12,42
2001-12,Kaohsiung City,2001,12,1,NA,NA,NA
2002-01,Kaohsiung City,2002,1,1,2002,1,4
2002-01,Kaohsiung City,2002,1,1,NA,NA,NA
2002-04,Kaohsiung City,2002,4,1,2002,4,3
2002-05,Kaohsiung City,NA,NA,NA,2002,5,5
2002-05,Kaohsiung City,2002,5,2,NA,NA,NA
2002-06,Kaohsiung City,NA,NA,NA,2002,6,140
2002-06,Kaohsiung City,2002,6,1,NA,NA,NA
2002-07,Kaohsiung City,NA,NA,NA,2002,7,623
2002-07,Kaohsiung City,2002,7,1,2002,7,3
2002-07,Kaohsiung City,2002,7,1,NA,NA,NA
2002-10,Kaohsiung City,NA,NA,NA,2002,10,999
2002-10,Kaohsiung City,2002,10,1,2002,10,109
2002-10,Kaohsiung City,2002,10,1,2002,10,26
2002-11,Kaohsiung City,NA,NA,NA,2002,11,600
2002-11,Kaohsiung City,2002,11,1,2002,11,138
2002-11,Kaohsiung City,NA,NA,NA,2002,11,25
2002-12,Kaohsiung City,NA,NA,NA,2002,12,203
2002-12,Kaohsiung City,2002,12,1,2002,12,45
2002-12,Kaohsiung City,NA,NA,NA,2002,12,4
2003-01,Kaohsiung City,2003,1,1,2003,1,34
