year,month,Y.M,MOI_County_living,local
1999,1,??-99,Kaohsiung City,12
1999,2,??-99,Kaohsiung City,1
1999,6,??-99,Kaohsiung City,2
1999,7,??-99,Kaohsiung City,9
1999,8,??-99,Kaohsiung City,6
1999,12,???-99,Kaohsiung City,3
2000,8,??-00,Kaohsiung City,1
2001,7,??-01,Kaohsiung City,1
2001,9,??-01,Kaohsiung City,5
2001,10,??-01,Kaohsiung City,77
2001,11,???-01,Kaohsiung City,91
2001,12,???-01,Kaohsiung City,42
2002,1,??-02,Kaohsiung City,4
2002,2,??-02,Kaohsiung City,2
2002,4,??-02,Kaohsiung City,3
2002,5,??-02,Kaohsiung City,5
2002,6,??-02,Kaohsiung City,140
2002,7,??-02,Kaohsiung City,623
2002,8,??-02,Kaohsiung City,1019
2002,9,??-02,Kaohsiung City,1213
2002,10,??-02,Kaohsiung City,999
2002,11,???-02,Kaohsiung City,600
2002,12,???-02,Kaohsiung City,203
2003,1,??-03,Kaohsiung City,34
2003,2,??-03,Kaohsiung City,1
2003,3,??-03,Kaohsiung City,2
2003,9,??-03,Kaohsiung City,10
2003,10,??-03,Kaohsiung City,21
2003,11,???-03,Kaohsiung City,3
2004,9,??-04,Kaohsiung City,6
2004,10,??-04,Kaohsiung City,12
2004,11,???-04,Kaohsiung City,19
2004,12,???-04,Kaohsiung City,11
2005,1,??-05,Kaohsiung City,6
2005,2,??-05,Kaohsiung City,4
2005,8,??-05,Kaohsiung City,18
2005,9,??-05,Kaohsiung City,21
2005,10,??-05,Kaohsiung City,30
2005,11,???-05,Kaohsiung City,49
2005,12,???-05,Kaohsiung City,8
2006,6,??-06,Kaohsiung City,2
2006,7,??-06,Kaohsiung City,50
2006,8,??-06,Kaohsiung City,106
2006,9,??-06,Kaohsiung City,166
2006,10,??-06,Kaohsiung City,283
2006,11,???-06,Kaohsiung City,228
2006,12,???-06,Kaohsiung City,107
2007,1,??-07,Kaohsiung City,13
2007,3,??-07,Kaohsiung City,3
2007,6,??-07,Kaohsiung City,2
2007,7,??-07,Kaohsiung City,44
2007,8,??-07,Kaohsiung City,16
2007,9,??-07,Kaohsiung City,5
2007,10,??-07,Kaohsiung City,26
2007,11,???-07,Kaohsiung City,63
2007,12,???-07,Kaohsiung City,9
2008,1,??-08,Kaohsiung City,3
2008,6,??-08,Kaohsiung City,5
2008,7,??-08,Kaohsiung City,36
2008,8,??-08,Kaohsiung City,68
2008,9,??-08,Kaohsiung City,37
2008,10,??-08,Kaohsiung City,130
2008,11,???-08,Kaohsiung City,127
2008,12,???-08,Kaohsiung City,18
2009,3,??-09,Kaohsiung City,1
2009,7,??-09,Kaohsiung City,4
2009,8,??-09,Kaohsiung City,58
2009,9,??-09,Kaohsiung City,36
2009,10,??-09,Kaohsiung City,141
2009,11,???-09,Kaohsiung City,317
2009,12,???-09,Kaohsiung City,191
2010,1,??-10,Kaohsiung City,36
2010,2,??-10,Kaohsiung City,2
2010,3,??-10,Kaohsiung City,2
2010,4,??-10,Kaohsiung City,3
2010,5,??-10,Kaohsiung City,2
2010,6,??-10,Kaohsiung City,3
2010,7,??-10,Kaohsiung City,2
2010,8,??-10,Kaohsiung City,56
2010,9,??-10,Kaohsiung City,223
2010,10,??-10,Kaohsiung City,326
2010,11,???-10,Kaohsiung City,275
2010,12,???-10,Kaohsiung City,145
2011,1,??-11,Kaohsiung City,10
2011,2,??-11,Kaohsiung City,2
2011,7,??-11,Kaohsiung City,3
2011,8,??-11,Kaohsiung City,117
2011,9,??-11,Kaohsiung City,124
2011,10,??-11,Kaohsiung City,241
2011,11,???-11,Kaohsiung City,455
2011,12,???-11,Kaohsiung City,216
2012,1,??-12,Kaohsiung City,7
2012,2,??-12,Kaohsiung City,2
2012,5,??-12,Kaohsiung City,2
2012,6,??-12,Kaohsiung City,4
2012,7,??-12,Kaohsiung City,12
2012,8,??-12,Kaohsiung City,35
2012,9,??-12,Kaohsiung City,85
2012,10,??-12,Kaohsiung City,142
2012,11,???-12,Kaohsiung City,167
2012,12,???-12,Kaohsiung City,51
2013,1,??-13,Kaohsiung City,5
2013,3,??-13,Kaohsiung City,1
2013,7,??-13,Kaohsiung City,1
2013,8,??-13,Kaohsiung City,1
2013,9,??-13,Kaohsiung City,2
2013,10,??-13,Kaohsiung City,7
2013,11,???-13,Kaohsiung City,32
2013,12,???-13,Kaohsiung City,21
2014,1,??-14,Kaohsiung City,1
2014,5,??-14,Kaohsiung City,12
2014,6,??-14,Kaohsiung City,92
2014,7,??-14,Kaohsiung City,366
2014,8,??-14,Kaohsiung City,937
2014,9,??-14,Kaohsiung City,2192
2014,10,??-14,Kaohsiung City,5328
2014,11,???-14,Kaohsiung City,4787
2014,12,???-14,Kaohsiung City,1284
2015,1,??-15,Kaohsiung City,70
2015,2,??-15,Kaohsiung City,10
2015,3,??-15,Kaohsiung City,7
2015,4,??-15,Kaohsiung City,5
2015,5,??-15,Kaohsiung City,19
2015,6,??-15,Kaohsiung City,31
2015,7,??-15,Kaohsiung City,29
2015,8,??-15,Kaohsiung City,438
2015,9,??-15,Kaohsiung City,2107
2015,10,??-15,Kaohsiung City,5134
2015,11,???-15,Kaohsiung City,8914
2015,12,???-15,Kaohsiung City,2959
