year,month,Y.M,MOI_County_living,local
1998,1,??-98,Pingtung County,1
1998,7,??-98,Pingtung County,1
1998,8,??-98,Pingtung County,1
1998,9,??-98,Pingtung County,2
1998,10,??-98,Pingtung County,1
1998,11,???-98,Pingtung County,3
2000,1,??-00,Pingtung County,2
2001,11,???-01,Pingtung County,1
2002,7,??-02,Pingtung County,3
2002,8,??-02,Pingtung County,32
2002,9,??-02,Pingtung County,53
2002,10,??-02,Pingtung County,109
2002,11,???-02,Pingtung County,138
2002,12,???-02,Pingtung County,45
2003,1,??-03,Pingtung County,10
2003,2,??-03,Pingtung County,2
2004,7,??-04,Pingtung County,10
2004,8,??-04,Pingtung County,11
2004,9,??-04,Pingtung County,55
2004,10,??-04,Pingtung County,121
2004,11,???-04,Pingtung County,70
2004,12,???-04,Pingtung County,14
2005,1,??-05,Pingtung County,2
2005,8,??-05,Pingtung County,1
2005,10,??-05,Pingtung County,1
2006,7,??-06,Pingtung County,1
2006,8,??-06,Pingtung County,2
2006,9,??-06,Pingtung County,6
2006,11,???-06,Pingtung County,1
2007,10,??-07,Pingtung County,1
2008,1,??-08,Pingtung County,1
2009,9,??-09,Pingtung County,3
2009,10,??-09,Pingtung County,23
2009,11,???-09,Pingtung County,37
2009,12,???-09,Pingtung County,13
2010,9,??-10,Pingtung County,2
2010,10,??-10,Pingtung County,2
2010,11,???-10,Pingtung County,6
2011,8,??-11,Pingtung County,3
2011,9,??-11,Pingtung County,3
2011,10,??-11,Pingtung County,51
2011,11,???-11,Pingtung County,76
2011,12,???-11,Pingtung County,16
2012,11,???-12,Pingtung County,1
2013,4,??-13,Pingtung County,10
2013,5,??-13,Pingtung County,18
2013,6,??-13,Pingtung County,26
2013,7,??-13,Pingtung County,6
2013,8,??-13,Pingtung County,14
2013,9,??-13,Pingtung County,68
2013,10,??-13,Pingtung County,72
2013,11,???-13,Pingtung County,135
2013,12,???-13,Pingtung County,126
2014,1,??-14,Pingtung County,8
2014,2,??-14,Pingtung County,1
2014,7,??-14,Pingtung County,6
2014,8,??-14,Pingtung County,11
2014,9,??-14,Pingtung County,28
2014,10,??-14,Pingtung County,77
2014,11,???-14,Pingtung County,62
2014,12,???-14,Pingtung County,30
2015,1,??-15,Pingtung County,4
2015,7,??-15,Pingtung County,3
2015,8,??-15,Pingtung County,16
2015,9,??-15,Pingtung County,63
2015,10,??-15,Pingtung County,74
2015,11,???-15,Pingtung County,148
2015,12,???-15,Pingtung County,94
2016,1,??-16,Pingtung County,20
2016,6,??-16,Pingtung County,1
