year,month,Y.M,MOI_County_living,local
1999,1,??-99,Tainan City,6
1999,4,??-99,Tainan City,1
1999,12,???-99,Tainan City,1
2000,6,??-00,Tainan City,1
2000,7,??-00,Tainan City,3
2000,8,??-00,Tainan City,35
2000,9,??-00,Tainan City,43
2000,10,??-00,Tainan City,20
2000,11,???-00,Tainan City,6
2000,12,???-00,Tainan City,1
2001,8,??-01,Tainan City,1
2002,8,??-02,Tainan City,7
2002,9,??-02,Tainan City,20
2002,10,??-02,Tainan City,26
2002,11,???-02,Tainan City,25
2002,12,???-02,Tainan City,4
2003,1,??-03,Tainan City,2
2004,11,???-04,Tainan City,4
2005,8,??-05,Tainan City,2
2005,10,??-05,Tainan City,22
2005,11,???-05,Tainan City,22
2005,12,???-05,Tainan City,14
2006,1,??-06,Tainan City,2
2006,9,??-06,Tainan City,1
2006,10,??-06,Tainan City,5
2007,6,??-07,Tainan City,39
2007,7,??-07,Tainan City,120
2007,8,??-07,Tainan City,188
2007,9,??-07,Tainan City,190
2007,10,??-07,Tainan City,551
2007,11,???-07,Tainan City,555
2007,12,???-07,Tainan City,161
2008,1,??-08,Tainan City,17
2008,3,??-08,Tainan City,3
2008,7,??-08,Tainan City,1
2008,8,??-08,Tainan City,2
2008,10,??-08,Tainan City,1
2008,11,???-08,Tainan City,3
2009,10,??-09,Tainan City,5
2009,11,???-09,Tainan City,2
2009,12,???-09,Tainan City,3
2010,8,??-10,Tainan City,17
2010,9,??-10,Tainan City,117
2010,10,??-10,Tainan City,237
2010,11,???-10,Tainan City,98
2010,12,???-10,Tainan City,18
2011,1,??-11,Tainan City,1
2011,2,??-11,Tainan City,2
2011,8,??-11,Tainan City,1
2011,9,??-11,Tainan City,5
2011,10,??-11,Tainan City,29
2011,11,???-11,Tainan City,31
2011,12,???-11,Tainan City,26
2012,1,??-12,Tainan City,3
2012,4,??-12,Tainan City,4
2012,5,??-12,Tainan City,9
2012,6,??-12,Tainan City,5
2012,7,??-12,Tainan City,25
2012,8,??-12,Tainan City,74
2012,9,??-12,Tainan City,308
2012,10,??-12,Tainan City,194
2012,11,???-12,Tainan City,86
2012,12,???-12,Tainan City,36
2013,1,??-13,Tainan City,9
2013,2,??-13,Tainan City,1
2013,10,??-13,Tainan City,1
2013,11,???-13,Tainan City,21
2013,12,???-13,Tainan City,6
2014,1,??-14,Tainan City,3
2014,2,??-14,Tainan City,1
2014,7,??-14,Tainan City,3
2014,8,??-14,Tainan City,4
2014,9,??-14,Tainan City,11
2014,10,??-14,Tainan City,40
2014,11,???-14,Tainan City,76
2014,12,???-14,Tainan City,18
2015,1,??-15,Tainan City,1
2015,5,??-15,Tainan City,3
2015,6,??-15,Tainan City,18
2015,7,??-15,Tainan City,298
2015,8,??-15,Tainan City,3946
2015,9,??-15,Tainan City,12814
2015,10,??-15,Tainan City,4818
2015,11,???-15,Tainan City,781
2015,12,???-15,Tainan City,81
2016,1,??-16,Tainan City,6
2016,3,??-16,Tainan City,1
2016,7,??-16,Tainan City,2
2016,9,??-16,Tainan City,1
