year,month,Y.M,MOI_County_living,local
1998,1,1998-01,Kaohsiung City,1
1998,2,1998-02,Kaohsiung City,1
1998,3,1998-03,Kaohsiung City,3
1998,4,1998-04,Kaohsiung City,1
1998,5,1998-05,Kaohsiung City,1
1998,6,1998-06,Kaohsiung City,3
1998,7,1998-07,Kaohsiung City,3
1998,8,1998-08,Kaohsiung City,2
1998,9,1998-09,Kaohsiung City,16
1998,10,1998-10,Kaohsiung City,10
1998,11,1998-11,Kaohsiung City,35
1998,12,1998-12,Kaohsiung City,30
1999,1,1999-01,Kaohsiung City,12
1999,2,1999-02,Kaohsiung City,1
1999,6,1999-06,Kaohsiung City,2
1999,7,1999-07,Kaohsiung City,9
1999,8,1999-08,Kaohsiung City,6
1999,12,1999-12,Kaohsiung City,3
2000,8,2000-08,Kaohsiung City,1
2001,7,2001-07,Kaohsiung City,1
2001,9,2001-09,Kaohsiung City,5
2001,10,2001-10,Kaohsiung City,77
2001,11,2001-11,Kaohsiung City,91
2001,12,2001-12,Kaohsiung City,42
2002,1,2002-01,Kaohsiung City,4
2002,2,2002-02,Kaohsiung City,2
2002,4,2002-04,Kaohsiung City,3
2002,5,2002-05,Kaohsiung City,5
2002,6,2002-06,Kaohsiung City,140
2002,7,2002-07,Kaohsiung City,623
2002,8,2002-08,Kaohsiung City,1019
2002,9,2002-09,Kaohsiung City,1213
2002,10,2002-10,Kaohsiung City,999
2002,11,2002-11,Kaohsiung City,600
2002,12,2002-12,Kaohsiung City,203
2003,1,2003-01,Kaohsiung City,34
2003,2,2003-02,Kaohsiung City,1
2003,3,2003-03,Kaohsiung City,2
2003,9,2003-09,Kaohsiung City,10
2003,10,2003-10,Kaohsiung City,21
2003,11,2003-11,Kaohsiung City,3
2004,9,2004-09,Kaohsiung City,6
2004,10,2004-10,Kaohsiung City,12
2004,11,2004-11,Kaohsiung City,19
2004,12,2004-12,Kaohsiung City,11
2005,1,2005-01,Kaohsiung City,6
2005,2,2005-02,Kaohsiung City,4
2005,8,2005-08,Kaohsiung City,18
2005,9,2005-09,Kaohsiung City,21
2005,10,2005-10,Kaohsiung City,30
2005,11,2005-11,Kaohsiung City,49
2005,12,2005-12,Kaohsiung City,8
2006,6,2006-06,Kaohsiung City,2
2006,7,2006-07,Kaohsiung City,50
2006,8,2006-08,Kaohsiung City,106
2006,9,2006-09,Kaohsiung City,166
2006,10,2006-10,Kaohsiung City,283
2006,11,2006-11,Kaohsiung City,228
2006,12,2006-12,Kaohsiung City,107
2007,1,2007-01,Kaohsiung City,13
2007,3,2007-03,Kaohsiung City,3
2007,6,2007-06,Kaohsiung City,2
2007,7,2007-07,Kaohsiung City,44
2007,8,2007-08,Kaohsiung City,16
2007,9,2007-09,Kaohsiung City,5
2007,10,2007-10,Kaohsiung City,26
2007,11,2007-11,Kaohsiung City,63
2007,12,2007-12,Kaohsiung City,9
2008,1,2008-01,Kaohsiung City,3
2008,6,2008-06,Kaohsiung City,5
2008,7,2008-07,Kaohsiung City,36
2008,8,2008-08,Kaohsiung City,68
2008,9,2008-09,Kaohsiung City,37
2008,10,2008-10,Kaohsiung City,130
2008,11,2008-11,Kaohsiung City,127
2008,12,2008-12,Kaohsiung City,18
2009,3,2009-03,Kaohsiung City,1
2009,7,2009-07,Kaohsiung City,4
2009,8,2009-08,Kaohsiung City,58
2009,9,2009-09,Kaohsiung City,36
2009,10,2009-10,Kaohsiung City,141
2009,11,2009-11,Kaohsiung City,317
2009,12,2009-12,Kaohsiung City,191
2010,1,2010-01,Kaohsiung City,36
2010,2,2010-02,Kaohsiung City,2
2010,3,2010-03,Kaohsiung City,2
2010,4,2010-04,Kaohsiung City,3
2010,5,2010-05,Kaohsiung City,2
2010,6,2010-06,Kaohsiung City,3
2010,7,2010-07,Kaohsiung City,2
2010,8,2010-08,Kaohsiung City,56
2010,9,2010-09,Kaohsiung City,223
2010,10,2010-10,Kaohsiung City,326
